experiment_id,work,dataset,setting,method,metric,value,std,source_file,source_table_or_figure,verified,status,notes
EXP-BM-DOM-026,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GSS,BWTR,-0.140,0.040,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-027,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GSS,RMA,1.059,0.010,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-028,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GSS,E-FWT,0.255,0.150,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-029,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GSS,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-030,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GSS,DRR,0.036,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,raw-image replay
EXP-BM-DOM-031,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GEM,A-Dice,0.718,0.018,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-032,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GEM,BWTR,-0.095,0.022,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-033,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GEM,RMA,0.994,0.024,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-034,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GEM,E-FWT,0.251,0.154,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-035,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GEM,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-036,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GEM,DRR,0.042,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,raw-image replay
EXP-BM-DOM-037,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GPM,A-Dice,0.661,0.010,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-038,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GPM,BWTR,-0.188,0.010,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-039,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GPM,RMA,1.013,0.022,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-040,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GPM,E-FWT,0.212,0.080,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-041,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GPM,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-042,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-GPM,DRR,0.113,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-043,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-AGEM,A-Dice,0.740,0.015,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-044,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-AGEM,BWTR,-0.093,0.023,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-045,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-AGEM,RMA,1.023,0.027,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-046,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-AGEM,E-FWT,0.253,0.155,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-047,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-AGEM,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-048,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-AGEM,DRR,0.042,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,raw-image replay
EXP-BM-DOM-049,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER,A-Dice,0.715,0.011,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-050,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER,BWTR,-0.126,0.015,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-051,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER,RMA,1.018,0.016,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-052,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER,E-FWT,0.249,0.148,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-053,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-054,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER,DRR,0.027,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,raw-image replay
EXP-BM-DOM-055,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER++,A-Dice,0.725,0.013,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-056,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER++,BWTR,-0.105,0.018,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-057,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER++,RMA,1.012,0.013,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-058,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER++,E-FWT,0.251,0.149,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-059,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER++,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-060,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-DER++,DRR,0.027,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,raw-image replay
EXP-BM-DOM-061,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-FDR,A-Dice,0.728,0.015,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-062,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-FDR,BWTR,-0.111,0.028,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-063,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-FDR,RMA,1.025,0.033,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-064,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-FDR,E-FWT,0.252,0.136,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-065,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-FDR,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-066,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Repl-FDR,DRR,0.042,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,raw-image replay
EXP-BM-DOM-067,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-PNN,A-Dice,0.789,0.002,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-068,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-PNN,BWTR,0,0,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-069,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-PNN,RMA,1.003,0.014,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-070,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-PNN,E-FWT,0.235,0.148,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-071,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-PNN,MPE,1.112,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-072,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-PNN,DRR,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-073,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-DAN,A-Dice,0.786,0.008,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-074,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-DAN,BWTR,0,0,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-075,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-DAN,RMA,1.016,0.021,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-076,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-DAN,E-FWT,0.312,0.210,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-077,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-DAN,MPE,0.111,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-078,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,ParIso-DAN,DRR,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-079,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Non-CL,A-Dice,0.676,0.021,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-080,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Non-CL,BWTR,-0.237,0.038,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-081,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Non-CL,RMA,1.086,0.008,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-082,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Non-CL,E-FWT,0.260,0.151,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-083,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Non-CL,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-084,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Non-CL,DRR,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-085,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,JointTrain,A-Dice,0.830,0.040,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,full historical-data access reference
EXP-BM-DOM-086,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,JointTrain,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,full historical-data access reference
EXP-BM-DOM-087,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,JointTrain,DRR,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,full historical-data access reference
EXP-BM-CLS-001,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-EWC,A-Dice,0.487,0.020,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-002,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-EWC,BWTR,-0.552,0.042,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-003,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-EWC,RMA,0.999,0.022,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-004,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-EWC,WCD,0.513,0.022,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-005,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-EWC,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-006,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-EWC,DRR,0,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-007,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-SI,A-Dice,0.469,0.007,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-008,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-SI,BWTR,-0.602,0.016,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-009,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-SI,RMA,1.018,0.028,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-010,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-SI,WCD,0.570,0.020,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-011,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-SI,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-012,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-SI,DRR,0,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-013,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-LwF,A-Dice,0.384,0.022,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-014,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-LwF,BWTR,-0.575,0.013,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-015,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-LwF,RMA,0.782,0.046,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-016,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-LwF,WCD,0.602,0.002,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-017,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-LwF,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-018,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Regu-LwF,DRR,0,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-019,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-ER,A-Dice,0.654,0.034,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-020,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-ER,BWTR,-0.243,0.068,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-021,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-ER,RMA,1.015,0.029,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-022,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-ER,WCD,0.596,0.019,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-023,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-ER,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-024,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-ER,DRR,0.011,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,raw-image replay
EXP-BM-CLS-025,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GSS,A-Dice,0.456,0.003,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-026,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GSS,BWTR,-0.611,0.016,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-027,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GSS,RMA,0.991,0.038,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-028,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GSS,WCD,0.600,0.006,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-029,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GSS,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-030,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GSS,DRR,0.018,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,raw-image replay
EXP-BM-CLS-031,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GEM,A-Dice,0.684,0.036,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-032,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GEM,BWTR,-0.304,0.038,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-033,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GEM,RMA,1.014,0.031,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-034,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GEM,WCD,0.622,0.031,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-035,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GEM,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,
EXP-BM-CLS-036,Benchmark,MMWHS,Class-CL three-stage cardiac structure sequence,Repl-GEM,DRR,0.010,,sources/benchmark/Benchmark_pa/main.tex,tab:class-cl,yes,source_extracted,raw-image replay
