run_id,method,budget,seed,class_id,class_name,validation_dice,positive_validation_cases,nonempty_predictions_on_positive_cases,nonempty_prediction_rate,mean_predicted_pixels,foreground_coverage,scribble_pixels,dense_foreground_pixels,zero_supervision_slices
dense_seed42_stage1,dense,Dense,42,1,MYO,0.45562855176034583,138,138,1.0,1263.89,1.0,NA,NA,
dense_seed42_stage1,dense,Dense,42,2,LV,0.4831694556351184,126,124,0.9841269841269841,717.47,1.0,NA,NA,
dense_seed42_stage1,dense,Dense,42,3,LA,0.6898446277409698,121,121,1.0,1090.47,1.0,NA,NA,
pce_seed42_stage1,pce,B1,42,1,MYO,0.0313399103610897,138,138,1.0,51487.2,0.07367852514231558,116770,1584858,489
pce_seed42_stage1,pce,B1,42,2,LV,0.17149761172511066,126,126,1.0,5039.61,0.02544641422280994,33252,1306746,616
pce_seed42_stage1,pce,B1,42,3,LA,0.1601352267166577,121,121,1.0,9009.19,0.03533456388181286,41502,1174544,694
zs_seed42_stage1,zs,B1,42,1,MYO,0.04866057541402784,138,138,1.0,32693.515,0.07367852514231558,116770,1584858,489
zs_seed42_stage1,zs,B1,42,2,LV,0.05005203156467698,126,126,1.0,21931.965,0.02544641422280994,33252,1306746,616
zs_seed42_stage1,zs,B1,42,3,LA,0.12444020024153657,121,121,1.0,10910.52,0.03533456388181286,41502,1174544,694
pce_seed42_stage1,pce,B2,42,1,MYO,0.029398905254999896,138,138,1.0,54931.995,0.21885809328028127,346859,1584858,489
pce_seed42_stage1,pce,B2,42,2,LV,0.18082073377762725,126,126,1.0,4552.66,0.07687262865162778,100453,1306746,616
pce_seed42_stage1,pce,B2,42,3,LA,0.19898024061086286,121,121,1.0,6051.345,0.105925363375063,124414,1174544,694
zs_seed42_stage1,zs,B2,42,1,MYO,0.04920742917323074,138,138,1.0,32276.085,0.21885809328028127,346859,1584858,489
zs_seed42_stage1,zs,B2,42,2,LV,0.10800928248404393,126,126,1.0,9911.915,0.07687262865162778,100453,1306746,616
zs_seed42_stage1,zs,B2,42,3,LA,0.05963359391279017,121,121,1.0,23348.0,0.105925363375063,124414,1174544,694
pce_seed42_stage1,pce,B3,42,1,MYO,0.03083047113963662,138,138,1.0,52272.535,0.3593590088197176,569533,1584858,489
pce_seed42_stage1,pce,B3,42,2,LV,0.1687775061667832,126,126,1.0,4988.815,0.1298186487657127,169640,1306746,616
pce_seed42_stage1,pce,B3,42,3,LA,0.17423193665367834,121,121,1.0,8274.65,0.17695207672083804,207838,1174544,694
zs_seed42_stage1,zs,B3,42,1,MYO,0.050074088926497236,138,138,1.0,31701.54,0.3593590088197176,569533,1584858,489
zs_seed42_stage1,zs,B3,42,2,LV,0.11045031265606116,126,126,1.0,9815.24,0.1298186487657127,169640,1306746,616
zs_seed42_stage1,zs,B3,42,3,LA,0.05685817622982024,121,121,1.0,24019.22,0.17695207672083804,207838,1174544,694
