run,run_id,status,variant,best_checkpoint_epoch,best_checkpoint_bg_included_mean,best_checkpoint_background_patient_dice,best_checkpoint_foreground_patient_mean,best_checkpoint_MYO,best_checkpoint_LV,best_checkpoint_LA,best_checkpoint_positive_slice_MYO,best_checkpoint_positive_slice_LV,best_checkpoint_positive_slice_LA,best_checkpoint_positive_slice_mean,best_checkpoint_aggregate_MYO,best_checkpoint_aggregate_LV,best_checkpoint_aggregate_LA,best_checkpoint_aggregate_mean,validation_log_best_bg_epoch,validation_log_best_bg_mean,validation_log_best_fg_epoch,validation_log_best_fg_mean,last_epoch,last_bg_included_mean,last_foreground_patient_mean,last20_bg_mean,last20_bg_std,last20_fg_mean,last20_fg_std,best_checkpoint_sha256,last_checkpoint_sha256
A0,static_A0_sgd_seed42,completed,fg_only,4,0.14650170385520117,1.5922847494754323e-12,0.1953356051397375,0.02772010269620702,0.3052776302620105,0.25300908246099496,0.03996487427213482,0.35266799400793675,0.336142076775515,0.24292498168519552,0.02763816304632151,0.3061581180317702,0.2969544841375178,0.2102502550718698,4,0.14650170385520117,4,0.1953356051397375,149,0.10597670072005633,0.141302267626211,0.11467587377913316,0.004298611106565903,0.15290116503831344,0.0057314814754212,3fccef05ba1991b8b2caadba6fdb3cd7fc6339b00cc118e3bd80a659e551699c,e8d710a2eb925182e36b4f0d5a0a8f903e9eb39f035c9cd633ae4263c6e61ee9
A_ratio,static_A_ratio_sgd_seed42,completed,legacy_ratio,10,0.5091413839573591,0.9370212700822856,0.3665147552490502,0.20624690522530062,0.3709155661222366,0.5223817943996134,0.2597735843625598,0.34470901053121783,0.5796568887073671,0.3947131612003816,0.1970901534590527,0.39976426398173753,0.6052483780381525,0.4007009318263142,10,0.5091413839573591,13,0.3671504236865999,149,0.37376003902293076,0.24218269018855376,0.387601182519924,0.005139256340040358,0.2572183456085706,0.00596402195403715,37d6ac0986b9e97eb4c9d18a21ee2510b37f220000fc59277cb536eae546f6d6,58f34f272a296a597db45c137e8f82e28a13950212590c95147692e226511b22
Dense_v2,static_Dense_v2_sgd_seed42,completed,dense,136,0.81830230832757,0.9924111147564814,0.7602660395179329,0.6808081471448761,0.7806803329035663,0.8193096385053562,0.6484450222007329,0.6940476454020965,0.8036061824389811,0.7153662833472701,0.6504253442028568,0.780773897802346,0.8736252183129718,0.7682748201060582,136,0.81830230832757,136,0.7602660395179329,149,0.8115010463994508,0.7512566555844383,0.8046361380538489,0.008963213974734605,0.7421514956062868,0.011860011993509372,9c7674654951abde1ffc495b0b05ddbacbee8ced7d6ef7289f1af899ebac0b60,6c7019b8adea36e83ddd9f9760d54ba6efbce0a7f3130e42720087d08402d246
