stage,width,slices,zero_foreground_slices,zero_supervision_slices,foreground_pixels,foreground_scribble_pixels,background_pixels,background_scribble_pixels,foreground_coverage,background_annotation_ratio,total_annotation_ratio,valid_pixels_per_slice_min,valid_pixels_per_slice_mean,valid_pixels_per_slice_max
1,1,1500,282,0,4066148,191524,94237852,168000,0.04710207301849318,0.0017827231461090603,0.003657267252604167,112,239.68266666666668,438
1,3,1500,282,0,4066148,571726,94237852,168000,0.14060629372074013,0.0017827231461090603,0.007524881998697917,112,493.15066666666667,1058
1,5,1500,282,0,4066148,947011,94237852,168000,0.2329012618330666,0.0017827231461090603,0.011342478434244792,112,743.3406666666667,1638
2,1,1500,174,0,3025607,112769,95278393,168000,0.03727152931626612,0.0017632539205399906,0.0028561299641927085,112,187.17933333333335,292
2,3,1500,174,0,3025607,338553,95278393,168000,0.11189589394789211,0.0017632539205399906,0.005152923583984375,112,337.702,648
2,5,1500,174,0,3025607,564546,95278393,168000,0.18658933562752864,0.0017632539205399906,0.00745184326171875,112,488.364,994
3,1,1500,732,0,1014055,33008,97289945,168000,0.03255050268476562,0.0017267971525731667,0.0020447591145833334,112,134.00533333333334,269
3,3,1500,732,0,1014055,100408,97289945,168000,0.09901632554447244,0.0017267971525731667,0.002730387369791667,112,178.93866666666668,584
3,5,1500,732,0,1014055,169202,97289945,168000,0.16685682729240525,0.0017267971525731667,0.0034301961263020833,112,224.80133333333333,893
